Vth_T ,6bit_Vth,VinDac,#1
0,0,0,791
1,0,0,791
2,0,0,791
3,0,0,791
4,0,0,791
5,0,0,791
6,0,0,791
7,0,0,791
8,0,0,791
9,0,0,791
10,0,0,790
11,0,0,791
12,0,0,791
13,0,0,791
14,0,0,791
15,0,0,1552
16,0,0,791
17,0,0,790
18,0,0,791
19,0,0,791
20,0,0,791
21,0,0,791
22,0,0,791
23,0,0,791
24,0,0,1552
25,0,0,790
26,0,0,791
27,0,0,791
28,0,0,791
29,0,0,791
30,0,0,791
31,0,0,791
32,0,0,1551
33,0,0,791
34,0,0,791
35,0,0,791
36,0,0,791
37,0,0,791
38,0,0,790
39,0,0,791
40,0,0,791
41,0,0,791
42,0,0,791
43,0,0,790
44,0,0,790
45,0,0,1552
46,0,0,1552
47,0,0,1551
48,0,0,791
49,0,0,791
50,0,0,791
51,0,0,791
52,0,0,791
53,0,0,791
54,0,0,791
55,0,0,790
56,0,0,791
57,0,0,791
58,0,0,791
59,0,0,791
60,0,0,791
61,0,0,791
62,0,0,790
63,0,0,791
64,0,0,1552
65,0,0,791
66,0,0,791
67,0,0,791
68,0,0,790
69,0,0,791
70,0,0,791
71,0,0,791
72,0,0,791
73,0,0,1552
74,0,0,791
75,0,0,791
76,0,0,791
77,0,0,791
78,0,0,791
79,0,0,791
80,0,0,790
81,0,0,791
82,0,0,791
83,0,0,791
84,0,0,791
85,0,0,791
86,0,0,791
87,0,0,791
88,0,0,791
89,0,0,791
90,0,0,791
91,0,0,791
92,0,0,1552
93,0,0,791
94,0,0,790
95,0,0,1552
96,0,0,791
97,0,0,791
98,0,0,791
99,0,0,791
100,0,0,791
101,0,0,790
102,0,0,790
103,0,0,791
104,0,0,791
105,0,0,790
106,0,0,791
107,0,0,791
108,0,0,790
109,0,0,791
110,0,0,791
111,0,0,791
112,0,0,791
113,0,0,790
114,0,0,791
115,0,0,791
116,0,0,791
117,0,0,791
118,0,0,791
119,0,0,790
120,0,0,1551
121,0,0,791
122,0,0,790
123,0,0,790
124,0,0,791
125,0,0,790
126,0,0,1552
127,0,0,1552
128,0,0,790
129,0,0,790
130,0,0,791
131,0,0,790
132,0,0,791
133,0,0,790
134,0,0,790
135,0,0,791
136,0,0,791
137,0,0,790
138,0,0,791
139,0,0,791
140,0,0,791
141,0,0,790
142,0,0,791
143,0,0,791
